smiles,auc,cl,vdss,t1_2,log_auc_value,log_cl_value,log_vdss_value,log_t1_2_value,k1,k2,k3
CC(C)C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)C[C@@H]1O,1697.0,10.0,1.1,1.6,7.436617265234227,2.302585092994046,0.0953101798043249,0.4700036292457356,16970.0,1166.6875,14.545454545454543
CC(C)(C)c1nn2ccccc2c1Cc1ccc(C(=O)N[C@@H]2CCOC[C@@H]2C(=O)NO)cc1,1343.0567590000005,11.67,0.3,0.7,7.202703458474567,2.4570214462984645,-1.203972804325936,-0.3566749439387324,15673.472377530006,575.5957538571431,27.23
O=C(N[C@@H](Cc1ccc(N2CCN(c3ccccc3)CC2)cc1)C(=O)O)c1c(Cl)cccc1Cl,1290.0,12.92,0.754,1.44,7.162397497355718,2.558776498354456,-0.282362910974181,0.3646431135879092,16666.8,675.4583333333334,24.67480106100796
N=C(N)NC(=O)c1cnn(-c2cccc3ncccc23)c1C1CC1,74.4,237.0,7.2,0.5,4.309455941839047,5.4680601411351315,1.9740810260220096,-0.6931471805599453,17632.800000000003,1071.36,16.458333333333332
C[C@H]1CN(CC[C@H](C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C2CC2)CC[C@@]12C=Cc1ccccc12,2295.947790000001,7.36,2.19,4.11,7.738901017633872,1.9960599327407849,0.7839015438284094,1.4134230285081433,16898.175734400007,1223.3882384671538,13.81260273972603
CNC(=O)c1ccc(Nc2nc3cccc(-c4cc(F)c(CN5CCOCC5)c(F)c4)c3o2)cc1C,1177.629666000001,15.0,2.3,3.2,7.071258939573062,2.70805020110221,0.8329091229351039,1.1631508098056809,17664.444990000015,846.4213224375005,20.869565217391305
CN1CCC(NC(=O)c2cnc(NCc3cc(Cl)ccc3Cl)nc2NC2CCCC2)CC1,425.0,40.0,25.0,8.0,6.052089168924417,3.688879454113936,3.218875824868201,2.0794415416798357,17000.0,1328.125,12.8
O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,739.0,22.5,1.76,1.6,6.6052979209482015,3.1135153092103742,0.5653138090500605,0.4700036292457356,16627.5,812.9,20.454545454545453
O=C1CC(=O)N(CCc2ccccc2)C(=O)N1CCc1ccccc1,121.0,133.0,9.0,0.95,4.795790545596741,4.890349128221754,2.1972245773362196,-0.0512932943875505,16093.0,1146.3157894736842,14.038888888888888
O=C(Nc1ccc(-c2ccncc2)c(-c2ncco2)n1)C1CC1,533.0,31.67,1.6,0.9,6.278521424165844,3.4553698605505483,0.4700036292457356,-0.1053605156578262,16880.11,947.5555555555557,17.814375000000002
