smiles,auc,cl,vdss,t1_2,log_auc_value,log_cl_value,log_vdss_value,log_t1_2_value,k1,k2,k3
Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)ncn3)cccc2[nH]c1=O,5143.0,3.283,1.688,6.0,8.545391845774915,1.1887576385194556,0.5235443961737654,1.791759469228055,16884.469,1446.897333333333,11.669431279620854
C[S@@+]([O-])C[C@H]1[C@H]2CC[C@@]3(CC[C@H]4[C@@](C)(CCC[C@]4(C)C(=O)O)[C@@H]3C2)[C@@H]1O,2780.0,6.0,0.33,0.65,7.930206206684683,1.791759469228055,-1.1086626245216111,-0.4307829160924542,16680.0,1411.3846153846157,11.818181818181818
CC(C)(C)c1ccc(-c2nc3c(N4CCN(Cc5ccc6nccnc6c5)CC4)cccc3[nH]2)cc1,447.0,38.0,6.1,2.7,6.102558594613569,3.6375861597263857,1.8082887711792657,0.9932517730102834,16986.0,1009.8888888888888,16.819672131147545
Cc1n[nH]c(C(=O)O)c1Cc1cccc(-c2ccc(F)cc2)c1,2203.3288,8.0,0.6,1.7,7.697724586686852,2.0794415416798357,-0.5108256237659907,0.5306282510621704,17626.6304,777.6454588235293,22.666666666666668
O=C(Nc1ncc(F)s1)[C@H](CC1CCOCC1)c1ccc(S(=O)(=O)C2CC2)cc1,1660.0,10.0,2.1,3.2,7.414572881350589,2.302585092994046,0.7419373447293773,1.1631508098056809,16600.0,1089.375,15.238095238095235
COc1cc(-c2nc3ccc(-c4cccc(CN(C)C)c4)cc3c(=O)n2CC(=O)NC(C)C)ccc1F,441.0,40.2,4.85,1.61,6.089044875446846,3.693866995624976,1.5789787049493915,0.4762341789963717,17728.2,1328.478260869565,13.34474226804124
CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)n2cccnc12)C(=O)C1CC1,639.0,26.0,4.2,4.6,6.459904454377535,3.258096538021482,1.4350845252893227,1.5260563034950492,16614.0,583.4347826086957,28.47619047619047
O=C(c1cc(F)cc(Cl)c1)N1CCc2oc(-c3ccc(F)cn3)nc2C1,4339.0,3.8,2.4,8.9,8.37539918579835,1.33500106673234,0.8754687373538999,2.186051276738094,16488.2,1170.067415730337,14.091666666666669
CCOC(=O)N1CCC(N2CCC[C@@H](NC(=O)c3ccccc3C)C2)CC1,1100.0,14.7,0.98,0.7667,7.003065458786462,2.6878474937846906,-0.0202027073175194,-0.2656596884172882,16170.0,1406.025824964132,11.5005
Cl.O=C(Nc1ccc(N2C(=O)CC3(CCCCC3)C2=O)c(Cl)c1)c1ccccn1,346.0,48.3,5.5,1.563,5.846438775057725,3.877431560658527,1.7047480922384253,0.4466070514393395,16711.8,1217.530390275112,13.725981818181817
CO[C@H]1C[C@@H](CO[C@H]2CC[C@H](C(=O)O)CC2)N(C(=O)Cc2cc(Cl)c(NC(=O)c3cn(C)c4ccccc34)cc2Cl)C1,865.0,19.3,1.222,1.5,6.762729506931879,2.9601050959108397,0.2004888607494035,0.4054651081081644,16694.5,704.6866666666666,23.690671031096567
Cc1c(N2[C@@H]3CC[C@H]2C[C@@](C)(O)C3)ccc(C#N)c1Cl,630.61,24.4,3.908,2.458,6.446687604898324,3.194583132299156,1.3630257341805363,0.8993480111438431,15386.884,1002.6134580960128,15.3467758444217
CN(c1ccc(Cl)cc1)c1nc(=O)c2cccnc2s1,542.0,30.75,1.176,0.58,6.295266001439646,3.4258899942525267,0.1621188494764351,-0.5447271754416722,16666.5,1098.951724137931,15.16581632653061
O=C(O)CN1C(=O)[C@@]2(CC(=O)N(Cc3ccccc3F)C2=O)c2cc(Cl)ccc21,1250.0,13.33,0.9,1.0,7.1308988302963465,2.5900171341906173,-0.1053605156578262,0.0,16662.5,1125.0,14.81111111111111
CC1=C(CN2CC(C(=O)O)C2)CCc2cc(OCCCCc3ccccc3)ccc21,4400.0,4.0,2.86,11.0,8.389359819906353,1.3862943611198906,1.0508216248317612,2.3978952727983707,17600.0,1144.0,15.384615384615383
CCC(C)(C)C(=O)Nc1cc(CN2CCOCC2)c(C)cn1,158.0,96.67,3.5,0.5,5.062595033026967,4.571303116476514,1.252762968495368,-0.6931471805599453,15273.86,1106.0,13.81
Cc1c(Oc2ccc(-n3cnnn3)cc2F)ncnc1N1C2CC3CC1CC(C2)N3C(=O)OC1(C)CC1,1360.0,13.2,3.96,4.34,7.215239978730097,2.580216829592325,1.3762440252663892,1.4678743481123135,17952.0,1240.921658986175,14.466666666666669
COc1cccc(CNC(=O)c2[nH]c3cc(-c4cn[nH]c4)ccc3c2CN2CCOCC2)c1,534.6276000000004,32.0,2.0,1.4,6.281570429757132,3.4657359027997265,0.6931471805599453,0.3364722366212129,17108.083200000012,763.7537142857149,22.4
C[C@H](NS(=O)(=O)c1ccc(-c2sc(C(=O)NCC(C)(C)O)nc2CC2CC2)c2ccccc12)C(F)(F)F,415.0,40.7,29.5,10.2,6.028278520230698,3.7062280924485496,3.3843902633457743,2.322387720290225,16890.5,1200.2450980392157,14.072542372881356
Cc1noc(-c2ccccc2)c1CN1CC2(CC1=O)C(=O)N(CC(=O)O)c1ccc(Cl)cc12,247.0,66.67,0.4,0.1,5.5093883366279774,4.199755076629969,-0.916290731874155,-2.3025850929940455,16467.49,988.0,16.6675
Cc1ccc(S(=O)(=O)n2ccc(NC(=O)c3ccccn3)c2)cc1C,447.5,37.2,5.5,4.2,6.10367653771491,3.616308761279101,1.7047480922384253,1.4350845252893227,16647.0,586.0119047619047,28.40727272727273
Cc1cn(-c2cc(NC(=O)C3CCN(c4ncccc4Cl)CC3)cc(C(F)(F)F)c2)cn1,289.00409300000007,56.0,8.7,2.4,5.6664408506419015,4.02535169073515,2.163323025660538,0.8754687373538999,16184.229208000004,1047.6398371250002,15.448275862068968
Cc1nc(C)n(-c2ccc(NC(=O)C3CCN(c4ncccc4[N+](=O)[O-])CC3)cc2Cl)n1,416.6980840000001,43.0,1.1,0.5,6.032361940385679,3.7612001156935624,0.0953101798043249,-0.6931471805599453,17918.017612000003,916.7357848000004,19.545454545454543
O=[N+]([O-])c1cn2c(n1)OC[C@H](Oc1ccc(OC(F)(F)F)cc1)C2,1510.0,11.0,2.7,3.0,7.31986492980897,2.3978952727983707,0.9932517730102834,1.0986122886681098,16610.0,1359.0000000000002,12.22222222222222
Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCC(F)(F)CC1,5017.0,3.333,4.2,14.4,8.520587424484253,1.2038727993256026,1.4350845252893227,2.667228206581955,16721.661,1463.2916666666667,11.427428571428573
O=C(N[C@@H]1CCC[C@@H](NC(=O)c2ccccn2)C1)c1cccc(Cl)c1,260.0,68.33,3.4,0.6,5.560681631015528,4.224348908792687,1.2237754316221157,-0.5108256237659907,17765.8,1473.3333333333337,12.058235294117647
CCOc1cccc2c1c(/C=C1\C(=O)NN=C1c1snnc1C)cn2C,1141.0,15.0,1.1,0.9,7.039660349862076,2.70805020110221,0.0953101798043249,-0.1053605156578262,17115.0,1394.5555555555557,12.272727272727272
CCOC(=O)N1C2CCC1CC(N1CCC[C@@H](NC(=O)c3ccccc3C)C1)C2,92.2,189.0,11.8,0.7667,4.523960130562548,5.241747015059643,2.468099531471619,-0.2656596884172882,17425.8,1419.0165644971958,12.280194915254238
C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(F)c1)c1ccc(C(=O)O)cc1,9620.0,1.75,0.593,4.59,9.171599543659752,0.5596157879354227,-0.5225608799844117,1.5238800240724537,16835.0,1242.8453159041394,13.545531197301854
COc1cc(C(F)(F)F)cc([C@H]2OC(=O)N(C(=O)NCc3cncc4cccnc34)[C@H]2CO)n1,453.5290500000002,36.8,1.2,0.48,6.117059324835472,3.605497845174886,0.1823215567939546,-0.7339691750802004,16689.869040000005,1133.8226250000005,14.72
Cc1ccc2c(NC3CC3)noc2c1-c1ccc2c(c1)NC(=O)C21CCOCC1,5271.0,3.2,0.8,2.9,8.569975376855206,1.1631508098056809,-0.2231435513142097,1.0647107369924282,16867.2,1454.0689655172414,11.599999999999998
O=c1[nH]c2cc(-c3ccccc3)ccc2c2[nH]c(-c3c(F)cccc3Cl)nc12,728.0,23.0,1.4,1.0,6.590301048196686,3.1354942159291497,0.3364722366212129,0.0,16744.0,1019.2,16.42857142857143
CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)nc(NCC4CCCCN4CC(C)C)n3)cccc2s1,351.0,47.67,8.29,2.6,5.860786223465865,3.864302269216734,2.1150499691472033,0.9555114450274363,16732.170000000002,1119.15,14.95078407720145
O[C@@H]1[C@@H](O)[C@H](c2cn(Cc3ccc(C4CC4)cc3)c3c(F)cccc23)OC[C@H]1O,930.0,16.8,5.0,5.9,6.835184586147301,2.8213788864092133,1.6094379124341005,1.7749523509116738,15624.0,788.1355932203389,19.824
NC(=O)c1sc(N2CCOCC2)cc1OCCc1ccc(OC(F)(F)F)cc1,550.0,30.0,1.1,0.5,6.309918278226516,3.4011973816621555,0.0953101798043249,-0.6931471805599453,16500.0,1210.0,13.636363636363637
COc1cccc(CNC(=O)c2cc3ccc(-c4cn[nH]c4)nc3n2C)c1,4156.1575,4.0,0.5,1.8,8.332346248517407,1.3862943611198906,-0.6931471805599453,0.5877866649021191,16624.63,1154.4881944444444,14.4
C[C@H](O)[C@@H](CCc1cccc(C(F)(F)F)c1)n1cnc(C(N)=O)c1,484.6928600000001,33.3,2.0,0.94,6.183515411981536,3.505557396986398,0.6931471805599453,-0.0618754037180875,16140.272238,1031.2614042553191,15.650999999999998
O=C(O)c1ccc(NC(=O)[C@H](CC2CCCC2)n2cnc(S(=O)(=O)C3CCC3)c2)nc1,176.0,96.0,0.8,0.2,5.170483995038151,4.564348191467836,-0.2231435513142097,-1.6094379124341005,16896.0,704.0,24.000000000000004
O=[N+]([O-])c1cn2c(n1)O[C@H](COc1ccc(-c3ccc(F)cc3)nc1)CC2,3140.0,5.5,1.4,3.2,8.0519780789023,1.7047480922384253,0.3364722366212129,1.1631508098056809,17270.0,1373.75,12.571428571428571
CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,658.0,25.5,3.4,2.0,6.489204931325317,3.2386784521643803,1.2237754316221157,0.6931471805599453,16779.0,1118.6,15.0
C[C@H](Cc1ccccc1)n1c(-c2cccc(F)c2O)nc2ccnc(C(F)(F)F)c2c1=O,528.0,31.6,3.6,1.53,6.269096283706261,3.4531571205928664,1.2809338454620642,0.4252677354043441,16684.8,1242.3529411764705,13.43
CCN(C(=O)CN(c1cc2c(C)nsc2cc1Cl)S(=O)(=O)c1ccc(OC)c(OC)c1)c1cccc(C)n1,536.0,32.0,1.5,0.8,6.284134161070802,3.4657359027997265,0.4054651081081644,-0.2231435513142097,17152.0,1005.0,17.066666666666666
CN(C)CCn1c(CC(C)(C)C)nc2cc(S(=O)(=O)C3CN(CCO)C3)ccc21,391.0,43.42,5.696,3.3,5.968707559985366,3.7709201644501458,1.7397641741096743,1.1939224684724346,16977.22,674.889696969697,25.15554775280899
FC(F)(F)c1ccc(Nc2nc(N3CCOCC3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,322.0,51.67,4.7,1.1,5.7745515455444085,3.9448773422990935,1.547562508716013,0.0953101798043249,16637.74,1375.8181818181818,12.092978723404256
CCN(Cc1cc(F)ccc1-c1cn(CC(=O)O)c2ccccc12)C(=O)C1CC1,222.0,76.0,5.4,1.9,5.402677381872279,4.330733340286331,1.6863989535702288,0.6418538861723947,16872.0,630.9473684210527,26.74074074074074
CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,2680.0,6.7,1.8,5.1,7.893572073504902,1.9021075263969205,0.5877866649021191,1.62924053973028,17956.0,945.8823529411766,18.98333333333333
C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl,485.3,33.33,5.8,2.0,6.18476725641117,3.506457892319648,1.7578579175523736,0.6931471805599453,16175.049,1407.37,11.493103448275862
C[C@@H](Oc1ccc2[nH]nc(-c3nc4cc(CCO)ccc4[nH]3)c2c1)c1c(Cl)cncc1Cl,582.3,28.33,17.6,7.3,6.366985778843074,3.3439213138424253,2.8678989020441064,1.9878743481543455,16496.558999999997,1403.9013698630138,11.75051136363636
NCCc1cn(S(=O)(=O)c2c(Cl)nc3sccn23)c2ccccc12,140.0,123.33,24.0,5.4,4.941642422609304,4.814863689577897,3.1780538303479458,1.6863989535702288,17266.2,622.2222222222222,27.749250000000004
COc1cccc2c1c(/C=C1\C(=O)NN=C1c1snnc1C)cn2C,192.0,87.0,2.2,0.3,5.2574953720277815,4.465908118654584,0.7884573603642703,-1.203972804325936,16704.0,1408.0000000000002,11.863636363636362
CC(C)(C)C#Cc1cc(N2C(=O)[C@@H](CCO)OC[C@H]2C2CCCCC2)c(C(=O)O)s1,615.6694000000003,27.0,2.1,2.0,6.422710131153111,3.295836866004329,0.7419373447293773,0.6931471805599453,16623.07380000001,646.4528700000004,25.71428571428571
Cc1nn(C[C@H](F)CN2C3CCC2CC(OCc2cccc(F)c2)C3)c(=O)n1C,310.0,53.5,2.54,1.36,5.736572297479192,3.979681653901961,0.9321640810304452,0.3074846997479607,16585.0,578.970588235294,28.645669291338585
Cc1cc(SC(Cc2ccccc2)c2ccc(-c3ccc(C(F)(F)F)cc3)cc2)ccc1OCC(=O)O,3833.5,4.0,1.0,3.6,8.25153350299895,1.3862943611198906,0.0,1.2809338454620642,15334.0,1064.861111111111,14.4
C=C1C(=O)O[C@H]2c3c(C)c(OCc4ccccc4Br)cc(C)c3CC[C@@H]12,408.0,41.33,6.26,1.76,6.0112671744041615,3.721588628523641,1.8341801851120072,0.5653138090500605,16862.64,1451.1818181818182,11.61993610223642
CC1=C(CNCCC(=O)O)CCc2cc(OCCCCc3ccccc3)ccc21,5400.0,3.1,0.86,5.2,8.594154232552366,1.1314021114911006,-0.1508228897345836,1.6486586255873816,16740.0,893.0769230769231,18.74418604651163
COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1,568.0,30.5,11.3,4.6,6.342121418721152,3.417726683613366,2.424802725718295,1.5260563034950492,17324.0,1395.3043478260872,12.41592920353982
CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)nc(C4=CCN(CC(C)C)CC4)n3)cccc2s1,258.0,67.33,6.38,2.0,5.552959584921617,4.20960590255719,1.8531680973566984,0.6931471805599453,17371.14,823.02,21.106583072100317
N#Cc1ccc(N2CC[C@@H](Nc3c(C(N)=O)cnc4[nH]ccc34)[C@@H](F)C2)nc1,3196.0,5.3,1.1,3.0,8.069655306886165,1.667706820558076,0.0953101798043249,1.0986122886681098,16938.8,1171.8666666666668,14.454545454545451
C[C@@H](CO)Oc1cc(Oc2ccc(S(C)(=O)=O)cc2)cc(C(=O)Nc2nccs2)c1,4485.220000000001,3.9,0.19,1.3,8.408542825686746,1.3609765531356006,-1.6607312068216509,0.262364264467491,17492.358000000004,655.5321538461541,26.68421052631579
c1cn(-c2cc(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncn2)cn1,244.032,70.0,2.9,0.7,5.497299364235099,4.248495242049359,1.0647107369924282,-0.3566749439387324,17082.24,1010.9897142857144,16.896551724137932
CCN(C(=O)CN(c1cc(N(C)C)ccc1Cl)S(=O)(=O)c1ccc(OC)c(OC)c1)c1ccn(C)n1,1230.0,14.0,1.0,0.9,7.114769448366463,2.6390573296152584,0.0,-0.1053605156578262,17220.0,1366.6666666666667,12.6
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,971.4343200000004,17.0,5.5,4.6,6.878773659738435,2.833213344056216,1.7047480922384253,1.5260563034950492,16514.38344000001,1161.49755652174,14.218181818181815
Cc1noc(C)c1-c1cc2c(c3c1CCC3)NC(C)(C)C(=O)C2(C)C,460.0,37.12,6.131,3.2,6.131226489483141,3.614155907918,1.813357868780551,1.1631508098056809,17075.199999999997,881.3312500000001,19.37432718969173
Cc1ccc(CN2CCN(C)CC2)cc1NC(=O)c1ccc(Nc2ncc(C)c(-c3ccncc3)n2)cc1,270.0,61.5,5.7,1.1,5.598421958998375,4.119037174812473,1.7404661748405046,0.0953101798043249,16605.0,1399.090909090909,11.86842105263158
N#Cc1cc(NS(=O)(=O)c2ccc(N)cc2)ccc1Oc1ccc(Cl)c(C(F)(F)F)c1,3200.0,4.9,2.9,7.1,8.070906088787819,1.589235205116581,1.0647107369924282,1.9600947840472696,15680.000000000002,1307.042253521127,11.99655172413793
C=C(C)[C@@H]1CC[C@]2(NCCN3CCS(=O)(=O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,7670.488500000002,2.2,1.1,6.6,8.94513558203333,0.7884573603642703,0.0953101798043249,1.8870696490323795,16875.074700000005,1278.4147500000004,13.2
Cc1ccn2nc([C@H](C)Nc3ncnc(N)c3-c3ccc(O)c(F)c3)n(-c3ccccc3)c(=O)c12,149.0,112.0,5.2,1.0,5.003946305945459,4.718498871295094,1.6486586255873816,0.0,16688.0,774.8000000000001,21.538461538461537
C[C@H](Cc1ccc(F)c(F)c1)n1c(-c2ncccc2O)nc2ccnc(C(F)(F)F)c2c1=O,364.0,46.5,8.6,3.9,5.8971538676367405,3.8394523125933104,2.151762203259462,1.3609765531356006,16926.0,802.6666666666667,21.087209302325583
Cc1ccc(C(=O)NC2CC2)cc1-c1ccn2c(C(C)(C)C)nnc2c1,2119.0,7.8,2.0,3.4,7.6586995582682995,2.0541237336955462,0.6931471805599453,1.2237754316221157,16528.2,1246.470588235294,13.26
CC(=O)Nc1nc2c(Oc3cc(-c4ccc(C(F)(F)F)cc4)nc(NC(C)c4ccccn4)n3)cccc2s1,743.0,22.5,6.44,5.5,6.610696044717759,3.1135153092103742,1.8625285401162623,1.7047480922384253,16717.5,869.9854545454546,19.215838509316768
