Unnamed: 0,smiles,value,log_value,init_value
737,COc1cccc(-n2c(=O)n(CC(=O)Nc3ccc4c(c3)C[C@]3(C4)C(=O)NC(=O)N3C)c3ccccc32)n1,11.0,2.3978952727983707,0.3663211167653308
7546,CC(C)Cn1ncnc1-c1cc2c(s1)-c1ccc(C(N)=O)cc1OCC2,112.0,4.718498871295094,0.5239304612121618
6259,C[C@H]1O[C@@H](n2cnc3c(N)nc(OC4CCOC4)nc32)[C@H](O)[C@@H]1O,67.0,4.204692619390966,0.4890340805516509
1311,Cl.NCCCC[C@H](NC(=O)c1ccc(F)cc1)C(=O)c1noc(Cc2ccc(OCCc3ccc(Cl)c(Cl)c3)cc2)n1,45.0,3.80666248977032,0.4620009121810444
6719,O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)[C@@H]1CCc2cccc(=O)n21,77.0,4.343805421853684,0.4984822592989879
710,CCCS(=O)(=O)c1cccc(C#Cc2cc(Cl)ccc2OCC(=O)O)c1,6.667,1.897169983635923,0.3323131609800486
21,CCc1cc(-c2cc(NC(=O)C3Cc4ccc5ccccc5c4C3)[nH]n2)ccn1,9.52,2.253394848803274,0.3565070248140343
1272,COc1cc(-c2ccc(COc3cc([C@@H](CC(=O)O)C4CC4)ccn3)cc2[C@@H]2CCCC2(C)C)c(F)cn1,1.433,0.3597701488460348,0.2278969736265226
6165,CC(=O)Nc1nc2ccc(-c3ccnc(N(C)S(=O)(=O)c4ccc(C)cc4)n3)cc2s1,61.67,4.1217975890034015,0.4834040662718541
5730,COc1ccc2ncc(F)c(C[C@H](O)[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CO5)CO3)c2n1,37.0,3.610917912644224,0.4487064509900632
3671,C[C@H](Oc1ccc(S(C)(=O)=O)cc1C(=O)N1Cc2ccc(C3CCOCC3)cc2C1)C(F)(F)F,21.0,3.044522437723423,0.4102383474510757
5450,Cn1c(=O)n(Cc2ccccc2C#N)c2c(N3CCC[C@@H](N)C3)cc(C(F)(F)F)nc21,36.0,3.58351893845611,0.4468455841177108
1590,COCCOc1cnc2ccn([C@H](C)c3nnc4c(F)cc(-c5cc(C)no5)cn34)c(=O)c2c1,3.333,1.2038727993256026,0.2852262242896255
6205,CCc1cccc(-c2c(Cl)cccc2[C@](O)(CCCCOC)[C@H]2CN(C(=O)[C@H]3C[C@@H](N)[C@@H](O)C3)CCO2)c1.O=C(O)/C=C/C(=O)O,53.0,3.970291913552122,0.473114195910833
244,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1C(N)=O,3.0,1.0986122886681098,0.2780772049174186
1947,C[C@@H]1CN(Cc2ccc(F)cc2)[C@@H](C)CN1C(=O)COc1ccc(Cl)cc1C(=O)NCCN,184.0,5.214935757608986,0.5576471598598084
3765,O=C(N[C@@H]1CCCc2cc(CN3CCCCC3)ccc21)c1ccc(-c2coc3ccccc3c2=O)cc1,29.67,3.3901364343027307,0.4337115487629243
7006,C[C@H](C#N)NC(=O)c1cccc(-c2cc(-c3ccc(CNC4CCOCC4)cc3)on2)c1,93.0,4.532599493153256,0.5113046602606384
83,CC(C)C[C@H](NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N(C)CC(N)=O,3.55,1.2669476034873244,0.2895101004938514
5455,COc1ccc(CNC(=O)c2cc(-c3cncc(C)c3)ncc2-c2nccs2)nc1OC,40.7,3.7062280924485496,0.4551796698404521
7375,CC(C)C(=O)N1C[C@@H]2[C@H](CNc3nc(-c4ccccn4)cs3)[C@@H]2C1,137.0,4.919980925828125,0.5376145969057041
2425,N#CC1(c2ccccn2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1,13.5,2.602689685444384,0.380230219183521
2340,C/C(=C\c1cc(F)c(OC[C@H](F)C2CC2)cc1F)C(=O)N[C@@H]1[C@H](O)[C@@H](O)[C@H]2OCO[C@H]2[C@@H]1O,10.5,2.3513752571634776,0.3631615986241793
4871,COc1cc(Cl)c(-c2c(C)nn3c(NCCNC4CCOCC4)cc(C)nc23)c(Cl)c1,45.0,3.80666248977032,0.4620009121810444
1555,CN1Cc2cc(OCCCNc3ccccn3)ccc2CC(CC(=O)O)C1=O,50.0,3.912023005428146,0.4691567236320683
6858,Cc1ccc(CN2CC[C@@H](N3CC[C@@H](c4ccc(O)cc4)[C@H](F)C3)C2=O)cc1,54.0,3.9889840465642745,0.4743837168373138
1311,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc(OCC(=O)O)c(F)c2)c1,1.833,0.6059539688575679,0.2446171366524566
19,Cn1c(C#N)ccc1-c1ccc2c(c1)C(C)(C)C(=O)N2,9.0,2.19722457733622,0.3526920864639181
2290,O=C(NC[C@H](NC(=O)c1c(Cl)cc2c(c1Cl)CCN(C(=O)c1ccc3c(c1)OCC3)C2)C(=O)O)c1cccs1,19.0,2.9444389791664403,0.4034409399561653
460,COC1CCN(C(=O)C2CCN(CCc3c(-c4cc(C)cc(C)c4)[nH]c4sc(C(C)(C)C(=O)N5C6CCC5CC6)cc34)CC2)C1,0.8,-0.2231435513142097,0.1883069953075855
3271,O=c1ccc(-c2cc(C[C@]3(O)CC[C@@H](Cc4ccc(Cl)cc4)CC3)no2)c[nH]1,16.8,2.8213788864092133,0.3950830193877421
6022,CCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(N4CCCC4)CC3)nc(-c3ccccc3)n2)CC1,75.0,4.31748811353631,0.4966948563516713
85,O=C(O)c1ccc(CCCc2c(CCNS(=O)(=O)Cc3ccccc3Cl)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1,7.0,1.9459101490553128,0.3356234659045762
159,CC(C)(C)c1nc2nc(-c3ccccc3Cl)c(-c3ccc(C#N)cc3)cc2c2n[nH]c(=O)n12,4.0,1.3862943611198906,0.2976158210247119
177,CCCCCCCCO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H]2O)[C@@H]1O,1.393,0.3314596947976687,0.2259742014191341
6509,CC(C)[C@@H](CN(C)S(=O)(=O)C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,53.33,3.976499024612511,0.4735357667063667
5895,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,56.7,4.037774210733707,0.4776974175465512
356,COC(=O)N(CC(=O)O)Cc1cccc(OCc2nc(-c3ccc(Cl)cc3)oc2C)c1,4.3,1.4586150226995167,0.3025276517522475
3405,COc1cc(Nc2c(C(N)=O)cnc3ccc(S(C)(=O)=O)cc23)ccc1F,21.0,3.044522437723423,0.4102383474510757
6197,Cc1cccc(S(=O)(=O)Nc2cccc(-c3cc(NC(=O)c4ccc(N5CCN(C)CC5)cc4)[nH]n3)c2)c1,67.4,4.210645017918261,0.4894383519362084
2257,CN1C(=O)NC(=O)[C@@]12Cc1cc3ccc(CN4CC5(C)CC(=O)Nc6cccc4c65)nc3cc1C2,14.0,2.6390573296152584,0.3827002147314726
1569,CC(C)(C(=O)O)c1ccc(Oc2cc(NC(=O)N3CCC(O)(C4CCCC4)C3)cc(Oc3ccc(F)cc3)c2)cc1,2.98,1.091923300517313,0.2776229062866043
7798,CN1CC=C(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1,638.0,6.45833828334479,0.642095816705684
1498,Nc1ncc(C(=O)NC2CN(C(=O)C3CC3)C2)c2ccc(-c3cccc(F)c3)nc12,7.5,2.0149030205422647,0.3403092818076486
452,O=C(O)COc1ccc(Cl)cc1C1CCCCCC1,7.3,1.9878743481543453,0.3384735648678456
4616,CCC[C@H](Nc1nc(-c2ccc(NC(=O)NCC)c(OC)c2)ncc1C)c1cccnc1,36.8,3.605497845174885,0.448338334142682
