smiles,value,log_value,init_value
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)O,37.9,3.634951112088381,0.9919324645585108
CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,1.8,0.5877866649021191,0.5360848295232696
Cc1ccc(C(=O)NC2CC2)cc1Oc1cc(=O)n(C)c2c1cnn2-c1c(F)cccc1F,2.3,0.8329091229351039,0.5727544923278288
CN(c1nc2cc(C(=O)O)ccc2nc1-c1cc2ccccc2o1)C1CC1,3.39,1.220829921392359,0.6307864041667219
Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,3.0,1.0986122886681098,0.6125029738489391
O=C(Nc1ccc(-c2cn[nH]c2)cc1)N(CCO)Cc1ccccc1,1.9,0.6418538861723947,0.544173140927579
O=C(CI)NCCCCCCNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,2.0,0.6931471805599453,0.5518464803042319
COc1cc(C(=O)NCCN2CCCC2)ccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(C(F)(F)F)c1,3.9,1.3609765531356006,0.6517519646888339
CC(C)(C)C1=NOC(C)(C(=O)N[C@@H](Cc2ccc(NC(=O)c3c(Cl)cccc3Cl)cc2)C(=O)O)C1,1.4,0.3364722366212129,0.4984888645638235
CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F,3.0,1.0986122886681098,0.6125029738489391
N#Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,4.2,1.4350845252893227,0.6628383187169946
CCc1ccc(-c2ccc(C(=O)N3CCc4c(c5ccccc5n4CC(=O)O)C3)cc2)cc1,4.0,1.3862943611198906,0.6555394409126956
COc1cccc2c1c(NS(=O)(=O)c1ccc(Cl)s1)nn2Cc1cccc(CNC(=O)C(C)(C)N)c1,1.3,0.262364264467491,0.4874025105356627
Cc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(Cl)cc1,6.6,1.8870696490323795,0.7304540819291299
Cl.O=C(Nc1ccc(-c2nnc(NCCCN3CCCCC3)o2)cc1)c1ccccc1F,2.9,1.0647107369924282,0.6074313925728927
CCN1CCC(C(=O)NO)(S(=O)(=O)c2ccc(OCCCc3nc(-c4ccc(OC(F)(F)F)cc4)no3)cc2)CC1,2.4,0.8754687373538999,0.5791212965870262
N#Cc1cccc(Oc2ccc(C(=O)N3CCCN(C4CCC4)CC3)cn2)c1,0.8,-0.2231435513142097,0.414771842433855
NC[C@H]1CC[C@]2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,1.5,0.4054651081081644,0.5088100132404754
